"","X.3","X.2","X.1","X","Census.Tract","Pesticides","Tox..Release","Pollution.Burden.Score","PM2.5","Traffic","Ozone","Asthma"
"173",173,173,173,173,6037601401,0,3382.386719,7.89486099367653,11.92992332,1938.556275,0.04320513,92.39
"174",174,174,174,174,6037127220,0,773.137329,7.04663663909294,11.80687777,1063.396908,0.06236471,109.67
"175",175,175,175,175,6037204910,0,3051.320068,8.32148535952338,12.25496306,3824.66063,0.0482775,76.1
"176",176,176,176,176,6037530500,0,2293.813273,7.80809953368272,12.15638623,2559.699566,0.05022962,66.37
"177",177,177,177,177,6019003400,0,1422.968374,7.16461620413623,13.75766747,2091.787221,0.060311,133.03
"178",178,178,178,178,6037229420,0,3584.096639,7.43911716364501,12.10765122,717.1675568,0.04539285,66.83
"179",179,179,179,179,6037241001,0,9347.340007,7.09861906873777,12.10169951,4387.044921,0.04320513,119.22
"180",180,180,180,180,6037402801,0,798.0096537,7.85692911840878,12.75120791,550.9859077,0.05763123,67.92
"181",181,181,181,181,6037294830,0,8956.069985,7.37129155827454,11.77535951,211.6913887,0.03809217,76.33
"182",182,182,182,182,6037575402,0,13194.64356,6.58596975352339,11.70376562,980.0530426,0.03975537,128.01
"183",183,183,183,183,6037208302,0,1880.376933,8.58858604640384,12.33647073,1241.496196,0.04791979,45.67
"184",184,184,184,184,6037542601,0,18478.41016,7.43380141666978,12.09830951,879.757827,0.04320513,131.07
"185",185,185,185,185,6037553802,7.614310134,9078.060057,8.36783160371362,12.14364358,1258.047934,0.04320513,52.77
"186",186,186,186,186,6037227020,0,2800.173381,6.95597457270915,12.09940492,694.4065848,0.04632538,69.72
"187",187,187,187,187,6037433200,0.029205201,2204.986938,9.01576033027634,11.99426857,2091.666854,0.05605125,48.95
"188",188,188,188,188,6037237202,0,3479.483317,7.03828282200695,11.96234496,946.2317225,0.0438112,141.59
"189",189,189,189,189,6037128303,0,963.7623394,7.02910839642924,11.84362669,1256.310174,0.06133785,74.24
"190",190,190,190,190,6019000600,0,1777.644348,6.60747345975927,13.75654525,712.3277096,0.060311,139.07
"191",191,191,191,191,6037601600,7.153453545,5728.269938,8.24797704854803,12.01108536,1977.605847,0.04259906,59.03
"192",192,192,192,192,6037533703,0,3939.663412,8.24157497795196,12.07819852,3856.826903,0.04716458,51.32
"193",193,193,193,193,6037530700,0,2336.286662,8.98949967735144,12.20229619,1529.021674,0.05022962,56.55
"194",194,194,194,194,6037432802,0.297132059,2023.525269,8.57603304453704,11.89284869,2292.788282,0.05679963,45.36
"195",195,195,195,195,6037128302,0,929.3180034,7.73201376724569,11.85390933,1247.91131,0.06133785,75.59
"196",196,196,196,196,6071000301,0.151823415,788.0779929,7.45940077164376,13.11261367,729.5381365,0.05938691,65.02
"197",197,197,197,197,6037240600,0,6458.116537,6.65163549366027,12.0941273,676.0721954,0.0438112,91.05
"198",198,198,198,198,6077002201,21.78819461,391.1259969,6.9330756120393,11.68145712,670.708918,0.04632538,84.83
"199",199,199,199,199,6037186401,0,1514.276672,8.59444981704063,11.98082094,2264.840515,0.05165298,65.4
"200",200,200,200,200,6037127711,0,845.6133321,8.15882529442702,12.08262759,3893.945275,0.06133785,57.11
"201",201,201,201,201,6037535101,0,4903.836711,6.97334952571277,12.09489677,788.5604294,0.04490202,75.3
"202",202,202,202,202,6029006201,4226.058342,142.9483337,7.45652191790755,13.66583382,131.6550903,0.06591477,77.48
"203",203,203,203,203,6037532700,0,3795.439982,7.86272856140284,12.136112,807.6940767,0.04539285,72.22
"204",204,204,204,204,6037433700,0,2547.04598,9.67485516456306,12.00257511,2406.642418,0.05462941,65.92
"205",205,205,205,205,6037243000,0,7529.753337,7.03833921171368,12.07407493,468.3874688,0.0438112,90.26
"206",206,206,206,206,6037534405,0,4845.190063,7.60888691731849,12.03133345,1158.132247,0.04632538,54.25
"207",207,207,207,207,6037199700,0,1841.317281,9.21285590809843,13.26241232,2494.648197,0.04939042,56.77
"208",208,208,208,208,6059087405,0,5033.723307,8.0202074369024,12.08608968,2362.63245,0.04716458,53.66
"209",209,209,209,209,6029002301,1.336953076,15.46113333,7.06549486296969,15.6007239,696.4949013,0.06591477,84.71
"210",210,210,210,210,6037232120,0,3136.206706,6.837669660681,11.99843255,3043.231559,0.04490202,100.68
"211",211,211,211,211,6037536102,0,6664.29655,9.56905020271734,12.03321154,3311.619175,0.04539285,40.75
"212",212,212,212,212,6037570501,3.288567017,8025.20646,7.68030900235878,12.25666707,743.463199,0.04259906,94.42
"213",213,213,213,213,6037535300,0,4985.023316,7.68796573326868,12.07274542,854.0064334,0.04490202,72.41
"214",214,214,214,214,6037540502,0,12429.09652,7.67652557854744,12.08913112,988.1238488,0.0438112,63.03
"215",215,215,215,215,6037206010,0,1841.683939,9.16108891313361,13.32985065,1563.55891,0.04863521,30.75
"216",216,216,216,216,6065030103,0,696.440328,8.00741837847405,12.44342326,2510.906229,0.06718273,97.64
"217",217,217,217,217,6037291130,0,18714.71647,8.48395534040096,12.11872262,2667.957948,0.04259906,75.78
